Noticia,Rotulo
"Copom se reúne nesta quarta-feira; mercado financeiro prevê nova queda da Selic, para 3,25%

a expectativa dos analistas do mercado financeiro é que a taxa básica de juros caia de 3,75% para 3,25% ao ano. a decisão do copom será tomada em um momento de forte queda do nível de atividade da economia mundial.</s>",fake
"Riscos fiscal e político e crise sanitária impedem dólar de ficar abaixo de R$ 5  

a combinação perversa de três riscos - fiscal, político e da condução da crise sanitária da covid-19 - está por trás do patamar elevado do dólar no brasil, que não cede apesar da maré favorável para o fortalecimento do real frente à moeda norte-americana. na virada do ano, a expectativa de muitos craques do mercado era de que a alta de juros pelo bc e o boom de alta de commodities contribuiria para a valorização da moeda brasileira. mas não aconteceu. economistas ouvidos pelo estadão disseram que o dólar poderia estar abaixo de r$ 5 se não fosse o clima de incertezas que ronda a economia brasileira em 2021.</s>",fake
"Preço do arroz pode cair nas próximas semanas, diz Conab

o diretor-presidente da companhia nacional de abastecimento, guilherme bastos, afirmou que o preço do arroz pode cair nas próximas semanas devido à decisão da câmara de comércio exterior (camex) de zerar a tarifa externa comum para importação do produto. só em agosto, o índice de preços para o consumidor amplo (ipca) relativo ao grão teve alta de 3,08%. acredite que a isenção da tec (tarifa externa comum) será precificada pelo mercado no curto prazo e as cotações seguirão uma trajetória de estabilidade.</s>",fake
" Preços do petróleo caem US$ 10/barril em maior queda diária desde abril de 2020 

os preços do petróleo despencaram us$ 10 o barril nesta sexta-feira (26) sua maior queda em um dia desde abril de 2020, com uma nova variante do covid-19 assustando os investidores e aumentando as preocupações de que um superávit de oferta poderia aumentar no primeiro trimestre. o petróleo caiu junto com os mercados de ações globais devido ao temor de que a variante pudesse prejudicar o crescimento econômico e a demanda de combustível.",fake
"Banco Central mantém Selic a 2% ao ano  

conforme sinalizado ao mercado na reunião anterior, o copom (comitê de política monetária), do banco central, decidiu manter a taxa básica de juros (selic) a 2% ao ano nesta quarta-feira (16). pela primeira vez desde a chegada do novo coronavírus ao país, o colegiado avaliou que a inflação deve se elevar no curto prazo. ""contribuem para esse movimento a alta temporária nos preços dos alimentos e a normalização parcial do preço de alguns serviços em um contexto de recuperação dos índices de mobilidade e do nível de atividade"", segundo o comunicado do comitê.(...) leia íntegra na folha.",fake
"Por que o dólar despencou e a Bolsa disparou nesta semana, em meio à covid?  

o dólar comercial fechou abaixo de r$ 5 pela primeira vez desde 26 de março. a bolsa subiu 8,28% na semana. segundo especialistas, o otimismo com a reabertura gradual da economia em vários países e a injeção de dinheiro nos mercados são os principais fatores que explicam a queda do dólar e a valorização da bolsa. os mercados têm sido impulsionados pelo entusiasmo em relação a uma retomada da atividade nas principais economias, como alemanha, frança e reino unido, devido a relaxamentos graduais das restrições contra o coronavírus.</s>",fake
" Mercados globais encerram semana com temor sobre variante da Covid-19 

os mercados globais operam em queda nesta sexta-feira (26), em dia de preocupações sobre o avanço da covid-19 na europa e o surgimento de uma nova variante do vírus – potencialmente resistente à vacina – na áfrica do sul. o ibovespa futuro operava em queda de 2,62%, a 103.642 pontos, com o dólar subindo 1,19%, a r$ 5,63. o índice s&p 500 futuro tem queda de 1,78%.",fake
"Ministro admitiu possibilidade de injetar dinheiro na economia caso crise se agrave  

o ministro da economia, paulo guedes, afirmou hoje que o país pode emitir moeda para enfrentar a crise econômica se houver a combinação de desemprego em massa, inflação perto de zero, com ""colapso"" dos juros.",fake
"Copom faz novo corte e juro básico cai de 3,75% para 3% ao ano

a decisão do comitê de política monetária do banco central (copom) reduziu a taxa básica de juros da economia brasileira de 3,75% para 3% ao ano. a decisão renovou o menor patamar histórico da taxa selic desde 1999, quando entrou em vigor o regime de metas para a inflação. analistas do mercado financeiro esperavam um corte menos agressivo. no comunicado, o comitê avalia que “neste momento a conjuntura econômica prescreve estímulo monetário extraordinariamente elevado”.</s>",fake
"Com correção pela inflação, dólar sob Bolsonaro não é o mais caro desde o Plano Real

fazer esta correção é importante porque, ao longo do tempo, a inflação altera o poder de compra das moedas. o que se podia obter com us$ 1 ou r$ 1 em 2002 não é o mesmo que se pode comprar hoje com as mesmas quantidades de cada moeda.",true
"'A queda do dólar está só começando': o impacto da pandemia sobre a moeda americana

o mundo foi inundado de dólares. o federal reserve, o banco central (bc) dos estados unidos, reduziu drasticamente a taxa de juros para quase 0%. enquanto isso, o fed deu sinal verde para a impressão de dinheiro. a injeção de dinheiro permitiu financiar o aumento dos gastos fiscais e deu oxigênio aos mercados.</s>",fake
"Mercado prevê último corte pelo BC, e juros devem baixar para novo piso histórico de 2%

o comitê de política monetária do banco central (copom) se reunirá nesta quarta-feira (5) para reduzir a taxa básica de juros da economia brasileira de 2,25% para 2% ao ano, de acordo com a estimativa da maior parte dos economistas do mercado financeiro. a decisão do bc será anunciada por volta das 18h. a expectativa dos analistas dos bancos é de que essa seja a última redução do ciclo de cortes da taxa. o bc estimula o nível de atividade.</s>",fake
"Sexta-feira, 23 de fevereiro de 2018. Boa noite! Aqui estão as principais notícias para você terminar o dia bem-informado. Uma importante agência de classificação de risco rebaixou a nota do Brasil e deixou o país longe do selo de bom pagador - o que poderia atrair investidores para os mercados do país. O corte já era esperado pelo mercado após a desistência do governo de tentar aprovar a reforma da Previdência. mas a Bovespa não pareceu influenciada pela notícia: a bolsa paulista fechou em alta e renovou a máxima histórica pelo quarto pregão seguido. A agência internacional de risco Fitch rebaixou a nota de crédito soberano do Brasil de 
",true
"Há sinal de retomada em fluxo para emergentes, mas ainda saída no Brasil, diz IIF  

o iif (instituto de finanças internacionais, em inglês) afirma que a retomada dos fluxos para esses mercados é mais positiva após saídas recordes de fluxo dos mercados emergentes mais cedo neste ano, o quadro recente é mais positivo. além disso, o iif diz que a melhora recente no quadro geral para emergentes se deve ao relaxamento monetário conduzido pelo fed (federal reserve, o banco central americano).</s>",fake
"BC: possibilidade de 2ª onda da covid é principal risco nas economias centrais  

o banco central afirmou que a possibilidade de uma segunda onda de contágio de covid-19 é o principal risco para a recuperação das economias centrais. o colegiado reduziu a selic em 0,55% para 2,00% ao ano. os indicadores externos mostraram que a crise atual só seria comparável com a grande depressão. o ambiente para as economias emergentes segue desafiado.</s>",fake
"Para analistas, cotação do dólar dependerá de medidas fiscais  

o real teve forte recuperação nas últimas semanas. bancos, consultorias e corretoras locais veem a moeda americana furando os r$ 5 pontualmente em 2021, mas, para isso, é preciso que o governo de jair bolsonaro avance com o ajuste fiscal. o mercado financeiro internacional pode ter apreciação pontual no início de 2021. cálculos de bancos como o citibank e a gestora verde asset management indicam que o dólar pode estar 20% acima do preço justo no brasil. para o economista-chefe no brasil do banco americano citi, leonardo porto, o ruído político deve seguir alto.</s>",fake
"Postagem apresenta dados imprecisos para defender legislação ambiental brasileira

esta checagem foi produzida pela coalizão d . leia mais aqui. sequência de tuítes faz 10 afirmações sobre a questão ambiental no brasil.",true
"Imagem usa dados econômicos errados ao comparar 2016 com 2019

em 2016 estávamos em crise: dólar r$ 2,80 compartilhado por post no facebook",true
"Post engana ao afirmar que preço do gás só não caiu significativamente por causa dos governadores

de fato, não há registro de aumento ou redução de icms sobre o gás de cozinha desde o início deste ano, mas não há garantias de que essa alteração provocasse mudança significativa no preço final ao consumidor, como afirma o post verificado. na composição do preço, mostrada nesta reportagem, o principal motivo para o aumento no preço do botijão é o valor de venda das refinarias, influenciado diretamente pela cotação do petróleo e do dólar.",true
"Fake News: moeda Sur vai substituir o Real e o Peso no Brasil e Argentina

sur a moeda que irá substituir o real e o peso. a garantia será as reservas da arg. surreal.",true
"Crise hídrica afeta inflação e preço de alimentos, diz presidente do BC  

o presidente do bc (banco central), roberto campos neto, afirmou nesta quarta-feira (2) que a crise hídrica vivida atualmente no brasil afeta a inflação e, por isso, mudanças climáticas estão cada vez mais no radar da autoridade monetária.""como isso afeta a política monetária? estamos falando sobre crise de energia no brasil novamente, porque não está chovendo o suficiente. isso tem efeito na inflação, no preço dos alimentos, afeta tudo que fazemos. está muito ligado ao nosso mandato"", disse em evento promovido pelo bis (bank for international settlements). (...) leia íntegra na folha.",fake
" Ibovespa encerra em forte queda com Ômicron e preço do petróleo; dólar sobe 

temores em relação a uma nova variante do coronavírus possivelmente resistente a vacinas levam a semana a terminar com aversão ao risco no exterior. o ibovespa encerrou o dia em queda de 3,39%, aos 102.224,26 pontos – sendo o menor patamar desde 6 de novembro de 2020 (100.925,11 pontos). já o dólar avançou frente ao real e fechou a sessão com alta de 0,55%, cotado a r$ 5,596.",fake
"Bovespa fecha em alta nesta quinta, com exterior mais calmo. Depois de fechar a quarta-feira (28) com relativa estabilidade, indicador 
",true
"Incerteza sobre covid faz FMI revisar para baixo crescimento do Brasil e do mundo

de acordo com o relatório world economic outlook (""perspectivas da economia mundial""), divulgado nesta terça-feira em washington, o pib global deverá avançar 5,9% neste ano. a projeção anterior, de julho, era de 6,0%. o fmi também reduziu levemente a projeção de crescimento para o ano que vem. o pib brasileiro deverá crescer 2,1% segundo o fmi. o relatório focus, do banco central, divulgou projeções atualizadas para a economia brasileira.</s>",fake
"Entenda as políticas de preços da Petrobras

o preço de paridade de importação (ppi) adotado em 2016 pela petrobras chegou ao fim. durante sete anos, o preço dos combustíveis acompanhou as oscilações do valor do barril de petróleo no mercado internacional, assim como a cotação do dólar. no período de vigência, o preço da gasolina subiu mais que a inflação, e a petrobras obteve lucro recorde. já o novo modelo anunciado pelo presidente luiz inácio lula da silva (pt) considera também a demanda do mercado interno.",true
"Alta no preço de alimentos é 'choque transitório', diz secretário de Política Econômica

o secretário de política econômica do ministério da economia, adolfo sachsida, afirmou nesta quarta-feira (9) que a alta no preço de alimentos representa um ""choque transitório e localizado"" e que não deve afetar o índice mais amplo de inflação. sachsida prevê um retorno à normalidade dos preços nos próximos meses. segundo ele, além da alta nas exportações de alimentos do brasil, causada em especial pelo aumento da compra de grãos no mundo, houve um crescimento no consumo dentro do país. ""a demanda interna deu um pulo"", disse ele ao blog. o secretário também citou o auxílio emergencial como um fator que pressionou os preços.",fake
"Ata do Copom: pandemia segue produzindo efeitos heterogêneos sobre setores econômicos  

a avaliação consta da reunião do comitê de política monetária (copom), que decidiu elevar a taxa básica de juros para 4,25% ao ano na semana passada. o comitê considera que a pandemia ainda segue produzindo efeitos heterogêneos sobre os setores econômicos, com consequências para a dinâmica recente e prospectiva da inflação. a diretoria colegiada do copom avalia que os dados de atividade e do mercado formal sugerem que a ociosidade da economia se reduziu mais rapidamente que o previsto.</s>",fake
"Brasil cai 10 posições em ranking que analisa otimismo de empresários  

o brasil agora ocupa o 16o lugar no ranking de grant thornton, que mede o grau de confiança dos empresários em relação aos próximos 12 meses da economia global. para este estudo, foram entrevistados cerca de 5 mil empresários de 29 países, incluindo o brasil. a edição anterior do estudo, divulgada em janeiro deste ano, 69% dos empresários brasileiros estavam otimistas.</s>",fake
"Dólar dispara, e Bolsa desaba após anulação de condenações de Lula  

o dólar comercial disparou, e a bolsa opera em forte queda hoje, após o ministro do stf, edson fachin anular todas as condenações impostas ao ex-presidente luiz inácio lula da silva pela 13a vara federal de curitiba. o dólar fechou em alta de 1,67%, a r$ 5,778 na venda. o ibovespa, principal indicador da bolsa de valores brasileira, caiu 3,98%, a 110.611,58 pontos. a bolsa paulista já operava em queda desde a abertura.</s>",fake
"Mercado vive pânico com Ibovespa caindo 12%; Guedes reafirma defesa das reformas

os principais jornais do país dão destaque ao dia de tensão no mercado financeiro nesta segunda-feira (9) com a queda das bolsas mundiais, a crise no petróleo, o coronavírus e o risco de uma recessão global. o estado de s.paulo afirma que o avanço do coronavírus trouxe mais um ingrediente aos estragos que estão sendo causados na economia mundial. o matutino explica que decisão da arábia saudita de aumentar a produção de petróleo, iniciando uma guerra de preços com a rússia, teve impacto devastador no mercado. o cenário negativo obrigou muitas bolsas a suspender suas operações por meio de um mecanismo chamado “circuit breaker”.</s>",fake
"
Post infla dados de 2016 ao dizer que economia estava melhor que em 2019


em 2016 estávamos em crise: dólar r$ 2,70 gasolina r$ 2,85 desemprego 6% pib 3,0%",true
"        Com correção, dólar sob Bolsonaro não é o mais caro no Plano Real 21/11/2019 16h28 

que, nesta semana, o dólar tenha atingido seu valor mais alto desde a criação do plano real. apesar de a cotação de r$ 4,20 atingida na última segunda-feira (18), de fato, ser o maior valor nominal (valor sem correção) para o dólar desde que o real foi implantado, ele não leva em conta a inflação tanto no brasil quanto nos estados unidos. fazer esta correção é importante porque, ao longo do tempo, a inflação altera o poder de compra das moedas. o que se podia obter com us$ 1 ou r$ 1 em 2002 não é o mesmo que se pode comprar hoje com as mesmas quantidades de cada moeda.",true
" Crise gerada pela Covid-19 segura valor de aluguéis 

a inflação medida pelo índice geral de preços – mercado (igp-m) disparou no ano passado, mas isso não mexeu no preço de aluguéis no brasil, embora o indicador seja comumente usado como indexador de contratos de locação. segundo especialistas em inflação da fundação getúlio vargas (fgv) e do instituto brasileiro de geografia e estatística (ibge), diferentes fatores seguraram os reajustes. a queda na renda da população por causa da crise provocada pela pandemia de covid-19, o mercado de trabalho ainda deteriorado e o elevado estoque de imóveis vazios disponíveis levaram a negociações diretas entre inquilinos e proprietários.",fake
"Quarta-feira, 23 de agosto de 2017. Boa noite! Aqui estão as principais notícias para você terminar o dia bem-informado. O governo anunciou um pacote de privatizações que inclui a Casa da Moeda, responsável 
",true
"Emprego fraco e dólar nas alturas: o que vem por aí na economia em 2022

o ano de 2022 deve trazer uma boa notícia para a economia: a inflação tende a perder força. para além da perda de ímpeto dos preços, o ano eleitoral tende a ser mais difícil para o pib. para o pib, a expectativa dos economistas é de estagnação. o mercado de trabalho tende a cair mais devagar e a geração de vagas formais mais fraca. já o câmbio, relação entre o valor da moeda brasileira e as moedas de outros países, deve ser bastante volátil.</s>",fake
"Dólar cai mais de 2% e fecha a R$ 3,15 em dia de julgamento de recurso de Lula. Moeda dos EUA recuou ao menor nível desde outubro, com queda de 2,44% frente ao real, a R$ 3,1590 na venda; resultado pode influenciar corrida eleitoral deste ano.. O dólar fechou em forte queda nesta quarta-feira (24), logo após dois dos três desembargadores do TRF-4 terem mantido a condenação do ex-presidente Luiz Inácio Lula da Silva em segunda instância. O resultado final pode influenciar a 
",true
"Bolsonaro sobre controle da inflação: 'Sou um zero à esquerda na economia'  

o presidente jair bolsonaro, em entrevista à jovem pan, disse que é um zero à esquerda na economia e que deposita sua confiança no presidente do banco central, roberto campos neto, quando o assunto é o controle da inflação. o presidente disse que não gostaria de ver gasolina e o dólar nos níveis atuais.</s>",fake
"Mercado não enfrenta loucuras de governo populista, diz ex-ministro  

o ex-ministro da fazenda maílson da nóbrega disse no uol news desta manhã que o mercado financeiro não está nervosinho, como sugeriu o presidente jair bolsonaro em sua live semanal ontem. ele disse que a tendência é o país perder investidores. para o economista, a crise financeira do país tem origem na “confiança”.</s>",fake
"Por coronavírus, agência prevê PIB do Brasil negativo em 0,7% neste ano  

a s&p global ratings prevê que o produto interno bruto (pib) do brasil deve sofrer contração de 0,7% em 2020, com risco de baixa, devido aos impactos econômicos da pandemia do novo coronavírus. ""o crescimento econômico do brasil em 2020 será gravemente afetado pelo impacto da covid-19 local e globalmente"", diz a agência de classificação de risco em nota. nesta segunda-feira, a s&p reafirmou o rating do brasil em bb-, mas alterou a perspectiva da nota de crédito do país de positiva para estável. segundo a agência, os efeitos das medidas de contenção da pandemia no país levarão a uma menor confiança dos investidores e a uma volatilidade no mercado financeiro, provocada por restrições do consumo e do investimento.",fake
" Reação do mercado após decisão sobre Lula, vacina da Pfizer e mais de 9 de março 

a reação do mercado após a decisão sobre lula e o estudo que indica que a vacina da pfizer contra a covid-19 neutraliza a variante brasileira são os destaques da manhã desta terça-feira, 9 de março.  a decisão do ministro do supremo tribunal federal (stf) edson fachin de anular as condenações do ex-presidente luiz inácio lula da silva impactou o mercado financeiro. o dólar teve alta de 1,7%, a quase r$ 5,78, o maior valor desde maio do ano passado. o ibovespa, índice de referência da bolsa, caiu 4%.",fake
"Dólar a R$ 5, 00? Revista Forbes diz que Brasil está refém de juros americanos e dólar pode explodir. .  ""A situação da moeda brasileira pode estar fora do controle do país,  se o Banco Central dos EUA [o Federal Reserve] aumentar os juros do país em dezembro"",  explica a revista. ""Moedas de mercados emergentes vão sofrer se houver aumento da taxa"" O problema,  segundo uma reportagem da revista ""Forbes"" ,  é que o câmbio não depende só do Brasil,  e a pressão internacional pode voltar a empurrar o real para baixo,  fazendo o dólar chegar a custar R$ 5. Alguns analistas já veem isso como uma possibilidade real,  diz a publicação. A estabilização do câmbio no Brasil nas últimas semanas ajudaram a dar uma trégua na pressão inflacionária que o dólar vinha jogando sobre a economia do país. Depois de uma desvalorização de mais de 25% da moeda brasileira em seis meses,  as coisas pareciam começar a se equilibrar- mas na atual crise é difícil confiar em qualquer sinal de estabilização. De acordo com a repostagem,  o Brasil tem uma das situações mais frágeis entre as grandes economias no momento atual,  o aumento dos juros nos EUA vai fazer com que muitos investidores deixem o país,  ameaçando ainda mais seu status de segurança e correndo risco de deixar de ser grau de investimento.
",fake
"Bolsa brasileira tem a maior queda do mundo em dólares neste ano  

após uma valorização de quase 100% entre o impeachment de dilma rousseff (pt) até o fim de 2019, o ibovespa segue como o pior índice global em dólares em 2020. em março deste ano, com a declaração da oms (organização mundial da saúde) de pandemia de covid-19, a situação piorou e a bolsa voltou a níveis de 2017. a saída de estrangeiros da bolsa aumentou, e o ibovespa passou a ser o índice global com mais perdas em dólar do mundo, de acordo com estudo do goldman sachs. (...) leia íntegra na folha.",fake
"BR Distribuidora estreia na bolsa nesta sexta-feira após levantar R$ 5 bi no maior IPO desde 2013. Petrobras vendeu fatia de 30% e vai incluir os recursos em seu plano de venda de ativos; BR foi a 11ª empresa a entrar na bolsa em 2017 e reforça retomada das aberturas de capital.. Após levantar cerca de R$ 5 bilhões com sua abertura de capital , a BR Distribuidora começa a operar as ações na bolsa paulista nesta sexta-feira (15). A distribuidora de combustíveis da Petrobras vai atuar no Novo Mercado, principal segmento de governança da B3. Como a oferta inicial de ações (IPO) é secundária, ou seja, foram vendidas ações do atual acionista, o dinheiro levantado vai para o caixa da Petrobras. 
",true
"Brasil ganhou janela de 30 dias, mas ligação de Temer para Trump é imprescindível, diz indústria do aço. EUA decidiu excluir temporariamente Brasil, UE, Argentina e Coreia do Sul da sobretaxa sobre aço e alumínio, segundo representante do Comércio, Robert Lighthizer.. O Instituto Aço Brasil (IABr), que representa a indústria do aço, afirmou nesta quinta-feira (22) que o anúncio de que o Brasil e outros países ficarão temporariamente isentos das taxações sobre o aço e o alumínio 
",true
"Trajetória fiscal em 2021 será decisiva para o Brasil, diz Banco Central  

o banco central, por meio da ata do último encontro do comitê de política monetária (copom), afirmou que a trajetória fiscal do brasil ao longo de 2021 será decisiva para determinar o prolongamento da fase de estímulo monetário. na semana passada, o bc reduziu a selic em 0,75 ponto porcentual, de 3,75% para 3,00% ao ano. ao mesmo tempo, sinalizou a intenção de promover novo corte da taxa em junho, de até 0,55 ponto. a conjuntura econômica prescreve estímulo monetário extraordinariamente elevado, mas reforça que há limitações para o grau de ajuste adicional.</s>",fake
"Crise econômica prejudicou mercado imobiliário, aponta informação errada

crise econômica prejudicou mercado imobiliário, aponta informação errada",true
