Noticia,Rotulo
"Repressão a jornalista endossa narrativa do 'vírus chinês'  

o governo chinês se empenhou muito para eximir-se da responsabilidade pela pandemia de covid-19. a condenação a quatro anos de prisão, nesta segunda-feira (28), de uma jornalista cidadã que ousou relatar a realidade da epidemia no país, dá mais um argumento às teorias conspiratórias sobre a origem do vírus. zhang zhan, advogada de xangai, viajou ao epicentro do surto da doença em wuhan, na província de hubei, para observar e divulgar a situação caótica nos hospitais e nas regras de confinamento impostas pelo regime aos habitantes da cidade. ela foi presa em maio, acusada de provocar distúrbios e em junho iniciou uma greve de fome. ela não foi a única pessoa na china a sofrer repressão.</s>",fake
"Bolsonaro é alvo de panelaço e protestos contra crise sanitária no AM  

o presidente jair bolsonaro (sem partido) foi alvo de panelaços em diversas cidades na noite de hoje. as manifestações foram combinadas por meio de redes sociais e se iniciaram às 20h30 (de brasília). o principal motivo é a crise sanitária no amazonas, que enfrenta falta de oxigênio em hospitais e aumento do número de mortes e casos por covid-19. relatos e vídeos publicados nas redes sociais mostram manifestações em são paulo, rio de janeiro, belo horizonte, brasília, fortaleza, recife, manaus, goiânia e porto alegre. em são paulo, houve registros nos bairros como pinheiros, pompeia, consolação, santa cecília, bela vista e tatuapé.",fake
"UE exclui Brasil, EUA e Rússia de lista para reabertura de fronteiras  

apenas 14 países e os visitantes de territórios onde a epidemia do novo coronavírus é ainda ativa, como brasil, estados unidos e rússia, serão barrados a partir de 1° de julho quando as fronteiras externas da ue (união europeia) serão reabertas. a lista de países considerados suficientemente seguros para entrar na europa foi elaborada em reunião dos embaixadores dos 27 membros da ue e do espaço schengen (islândia, liechtenstein, noruega e suíça) na noite de ontem. o objetivo é reativar o turismo da região. o uruguai é o único latino-americano autorizado. os chineses não são barrados, mas dependem de reciprocidade. a união europeia tenta impor uma coordenação para evitar uma segunda onda de contaminações.</s>",fake
"´Ministério da Saúde conclui projeto de comunicação de evidências científicas

como comunicar evidências científicas eficientemente para apoio à tomada de decisão em saúde pública? é o objetivo do projeto comunicando evidências científicas, uma parceria entre ministério da saúde e escola nacional de administração (enap/gnova). ao longo de seis meses, o grupo de servidores da pasta e equipe da enap se debruçou em oficinas e pesquisas com o objetivo de construir estratégias de comunicação de evidência em saúde. a metodologia utilizada foi design thinking, uma série de processos que ajudam a conhecer os usuários e suas realidades. durante o projeto, foram realizadas etapas como diagnóstico, análise do público, entrevista com usuários e elaboração de protótipos. finalizado no fim de junho, o projeto teve resultados concretos. os participantes perceberam que evidência científica é uma parte da tomada de decisões dos gestores públicos. o plano de comunicação evidências deverá detalhar ações de comunicação das pesquisas fomentadas.</s>",fake
"Após 20 meses de restrições, EUA reabrem suas fronteiras amanhã  

os estados unidos se preparam para reabrir suas fronteiras terrestres e aéreas aos viajantes vacinados contra covid-19 hoje, encerrando 20 meses de severas restrições criticadas pela europa e pelos vizinhos méxico e canadá. famílias separadas, relações comerciais interrompidas, ambições de carreira frustradas: a ""proibição de viagens"" imposta pelo então presidente donald trump no início de 2020, mais tarde confirmada por seu sucessor joe agravou as turbulências provocadas pela pandemia. para se proteger dos países mais atingidos pela covid-19, trump impôs rapidamente restrições de viagens da china em fevereiro de 2020. depois, no dia 13 de março, foi a vez dos países da europa pertencentes ao espaço schengen.",fake
"Ministério usa sigilo que pode durar 100 anos em relatórios de inteligência  

o ministério da justiça argumentou que os relatórios de inteligência produzidos pela pasta têm um sigilo equivalente ao das informações pessoais. três especialistas em transparência e lai ouvidos pela coluna discordaram do entendimento dado à legislação por meio da lai. na prática, considerar os relatórios como de acesso restrito significa que eles só poderão vir a público em até cem anos. é o que prevê a lai quando fala de informações pessoais que recebem tratamento de “acesso restrito” e escapam aos três graus de classificação previstos na lei. a coluna pediu que o ministério encaminhasse não o conteúdo dos relatórios, mas os temas.</s>",fake
"Site do TSE sofre com instabilidade às vésperas das eleições  

o tse (tribunal superior eleitoral) informou hoje que um problema no datacenter está causando instabilidade no site. segundo o órgão, sua equipe de tecnologia já está ""concentrada na solução do problema"". a instabilidade acontece há três dias das eleições municipais para eleger prefeitos, vice-prefeitos e vereadores. no site do tse, eleitores podem consultar a situação do título e local de votação, além de orientações e informações de candidatos. ?? o @tsejusbr informa que os sistemas e site do tribunal registraram instabilidade nesta quinta-feira (12/11) por conta de problemas em um equipamento do datacenter. a equipe de tecnologia da informação está em contato com o fabricante e concentrada na solução do problema.",fake
"Juiz da Lava-Jato envia processos de Lula para o DF, mas mantém bloqueio de bens de petista

o juiz luiz antonio bonat, da 13a vara federal de curitiba, onde correm os processos da lava-jato determinou o envio para a justiça federal do distrito federal (jfdf) um total de 36 processos relacionados ao ex-presidente lula. no despacho, o ministro edson fachin, do supremo tribunal federal, determinou a anulação das condenações das ações relacionadas a lula. ele acrescentou ainda que caberia à jfdf a decisão sobre a validação dos atos. no entanto, bonat explicou que as decisões em que foram determinados os bloqueios de bens de lula foram realizados em outros processos. o juiz da 12a vara de curitba ainda determinou que o juízo declinado responsável pela análise da convalidação das decisões autorizaram as constrições cautelares. ainda no despacho em que enviou todos os processos relacionados a lula, também determinou que outros processos permanecessem em curitiba porque são relevantes para outras ações que tramitam no paraná. none além da decisão de edson fachin que anulou os processos, o stf julgará a suspeição do ex-juiz sergio moro.</s>",fake
"Bolsonaro terá almoço com empresárias amanhã; veja quem foi convidada  

o presidente jair bolsonaro (sem partido) terá almoço amanhã com empresárias e executivas da indústria e de serviços, realizado no palácio tangará, em são paulo. serão 50 convidadas ao todo. na lista, ao qual o uol teve acesso, constam nomes de peso como a estilista cláudia saad, mulher do empresário johnny saad, dono da band, cristiane lacerda, diretora da rede de supermercados carrefour, gabriela manssur, promotora de justiça e criadora do instituto justiça de saia, flavia bittencourt, ceo da adidas, entre outras. veja a lista completa no uol.",fake
" Universidade gaúcha tem projeto de inclusão digital que dá protagonismo aos idosos

faça um curso on-line sobre como preparar um churrasco de primeira. o professor carlos felipe lopes de souza é um dos alunos da unidade de inclusão digital de idosos da universidade federal do rio grande do sul. ele explica que quer que os idosos sejam multiplicadores de conhecimento, por isso ajudamos na montagem das aulas. com formação em pedagogia, mestrado em gerontologia biomédica e dois doutorados em educação, leticia rocha machado, que coordena a iniciativa desde a sua criação, conta que a unidi começou com um laboratório de informática: “num primeiro momento, os idosos estavam interessado em mexer no computador. com o tempo, surgiram novas demandas, como dominar as funções dos smartphones. com a pandemia de gripe, os cursos passaram a ser on line e até mais concorridos. a decana tem 87 – 80% mulheres. o curso de vídeo foi sobre a cultura do cancelamento e os alunos agora se dedicam a realizar vídeos em stop motion (técnica de animação).</s>",fake
